productID,productName,price
3001,Laptop,9132.52
3002,Mouse,5667.36
3003,Keyboard,8272.28
3004,Monitor,120.80
3005,Desk,8536.71
3006,Office Chair,11385.24
3007,Printer,6632.09
3008,Headphones,7967.28
3009,Webcam,5614.10
3010,Microphone,5206.61
3011,Router,9829.09
3012,Modem,2943.42
3013,Docking Station,7491.60
3014,External SSD,7528.20
3015,USB Flash Drive,5792.55
3016,Gaming Mouse,9758.59
3017,Gaming Keyboard,13843.38
3018,Office Desk,9824.13
3019,Standing Desk,12137.26
3020,Ergonomic Chair,10926.79
3021,Projector,4771.09
3022,Whiteboard,1042.93
3023,Graphics Card,1611.57
3024,CPU,6067.16
3025,RAM,1058.49
3026,Motherboard,847.99
3027,Power Supply,6914.24
3028,Cooling Fan,14878.14
3029,Case,9350.27
3030,VR Headset,7206.47
3031,Smartphone,9708.64
3032,Tablet,8309.25
3033,Smartwatch,3874.84
3034,E-Reader,1670.55
3035,Bluetooth Speaker,1725.85
3036,Soundbar,2666.45
3037,Wireless Charger,13490.63
3038,Charging Cable,14755.54
3039,Surge Protector,12255.36
3040,Smart Bulb,688.31
3041,Monitor Stand,7508.44
3042,Mouse Pad,11715.64
3043,Hard Drive,11412.64
3044,Software License,830.10
3045,Antivirus Subscription,2533.98
3046,HDMI Cable,9252.01
3047,Ethernet Cable,4710.90
3048,Speaker System,13509.97
3049,Headset,11585.58
3050,Laptop Stand,5611.00
3051,Phone Case,14597.66
3052,Screen Protector,3890.89
3053,Fitness Tracker,1154.65
3054,Camera,7676.22
3055,Lens,9465.20
3056,Tripod,182.72
3057,Battery Pack,9880.93
3058,Projector Screen,14288.64
3059,Cable Organizer,1831.56
3060,MicroSD Card,13606.34
3061,USB Hub,3553.64
3062,Thunderbolt Cable,10337.02
3063,Docking Keyboard,6927.88
3064,Adjustable Lamp,14824.77
3065,Portable AC,6018.40
3066,Bluetooth Adapter,13291.64
3067,Mechanical Keyboard,2588.20
3068,Wireless Mouse,6513.65
3069,Portable Monitor,9620.72
3070,Mini PC,710.13
3071,NAS Storage,6554.36
3072,Server Rack,3710.23
3073,Streaming Device,2243.69
3074,Media Player,7757.12
3075,Smart Plug,5426.85
3076,Keyboard Cover,13743.42
3077,Trackpad,7456.58
3078,Laptop Sleeve,239.42
3079,Desk Lamp,13811.38
